"ma","pham_vi","nhom","mo_ta","vi_tri_source","occurrence","trang_thai"
"modut.fn.select","RIENG_MODUT","HÀNH VI","MODUT / Hàm số liệu / Chọn","modut-builder-v1.html:99","SINGLE","BUILT"
"modut.intro","RIENG_MODUT","GIAO DIỆN","MODUT / Giới thiệu","modut-builder-v1.html:82","SINGLE","BUILT"
"modut.intro.lead","RIENG_MODUT","GIAO DIỆN","MODUT / Giới thiệu / Mô tả","modut-builder-v1.html:83","SINGLE","BUILT"
"modut.people","RIENG_MODUT","GIAO DIỆN","MODUT / Kho người nhận","modut-builder-v1.html:141","SINGLE","BUILT"
"modut.people.close","RIENG_MODUT","HÀNH VI","MODUT / Kho người nhận / Đóng","modut-builder-v1.html:142","SINGLE","BUILT"
"modut.people.dialog","RIENG_MODUT","GIAO DIỆN","MODUT / Kho người nhận / Hộp thoại","modut-builder-v1.html:141","SINGLE","BUILT"
"modut.people.item","RIENG_MODUT","HÀNH VI","MODUT / Kho người nhận / Mục lặp","modut-builder-v1.html:204","REPEATABLE","BUILT"
"modut.people.item.dept","RIENG_MODUT","DỮ LIỆU","MODUT / Kho người nhận / Mục lặp / Bộ phận","modut-builder-v1.html:205","REPEATABLE","BUILT"
"modut.people.item.name","RIENG_MODUT","DỮ LIỆU","MODUT / Kho người nhận / Mục lặp / Tên","modut-builder-v1.html:205","REPEATABLE","BUILT"
"modut.people.item.role","RIENG_MODUT","DỮ LIỆU","MODUT / Kho người nhận / Mục lặp / Vai trò","modut-builder-v1.html:205","REPEATABLE","BUILT"
"modut.people.list","RIENG_MODUT","GIAO DIỆN","MODUT / Kho người nhận / Danh sách MOUT","modut-builder-v1.html:144","SINGLE","BUILT"
"modut.people.search","RIENG_MODUT","HÀNH VI","MODUT / Kho người nhận / Tìm kiếm","modut-builder-v1.html:143","SINGLE","BUILT"
"modut.people.title","RIENG_MODUT","GIAO DIỆN","MODUT / Kho người nhận / Tiêu đề","modut-builder-v1.html:142","SINGLE","BUILT"
"modut.recipients","RIENG_MODUT","GIAO DIỆN","MODUT / Người nhận","modut-builder-v1.html:113","SINGLE","BUILT"
"modut.recipients.add","RIENG_MODUT","HÀNH VI","MODUT / Người nhận / Thêm","modut-builder-v1.html:114","SINGLE","BUILT"
"modut.recipients.header","RIENG_MODUT","GIAO DIỆN","MODUT / Người nhận / Đầu mục","modut-builder-v1.html:113","SINGLE","BUILT"
"modut.recipients.item","RIENG_MODUT","GIAO DIỆN","MODUT / Người nhận / Mục lặp","modut-builder-v1.html:191","REPEATABLE","BUILT"
"modut.recipients.item.dept","RIENG_MODUT","DỮ LIỆU","MODUT / Người nhận / Mục lặp / Bộ phận","modut-builder-v1.html:191","REPEATABLE","BUILT"
"modut.recipients.item.name","RIENG_MODUT","DỮ LIỆU","MODUT / Người nhận / Mục lặp / Tên","modut-builder-v1.html:191","REPEATABLE","BUILT"
"modut.recipients.item.remove","RIENG_MODUT","HÀNH VI","MODUT / Người nhận / Mục lặp / Gỡ","modut-builder-v1.html:192","REPEATABLE","BUILT"
"modut.recipients.list","RIENG_MODUT","GIAO DIỆN","MODUT / Người nhận / Danh sách MOUT","modut-builder-v1.html:114","SINGLE","BUILT"
"modut.run","RIENG_MODUT","GIAO DIỆN","MODUT / Bản đúc chạy được","modut-builder-v1.html:123","SINGLE","BUILT"
"modut.run.card","RIENG_MODUT","GIAO DIỆN","MODUT / Bản đúc chạy được / Thẻ báo cáo","modut-builder-v1.html:125","SINGLE","BUILT"
"modut.run.card.body","RIENG_MODUT","GIAO DIỆN","MODUT / Bản đúc chạy được / Thẻ báo cáo / Nội dung thẻ","modut-builder-v1.html:128","SINGLE","BUILT"
"modut.run.card.body.fn","RIENG_MODUT","GIAO DIỆN","MODUT / Bản đúc chạy được / Thẻ báo cáo / Nội dung thẻ / Hàm số liệu","modut-builder-v1.html:240","SINGLE","BUILT"
"modut.run.card.body.fn.value","RIENG_MODUT","DỮ LIỆU","MODUT / Bản đúc chạy được / Thẻ báo cáo / Nội dung thẻ / Hàm số liệu / Giá trị","modut-builder-v1.html:240","SINGLE","BUILT"
"modut.run.card.body.output","RIENG_MODUT","GIAO DIỆN","MODUT / Bản đúc chạy được / Thẻ báo cáo / Nội dung thẻ / Đầu ra","modut-builder-v1.html:244","SINGLE","BUILT"
"modut.run.card.body.output.export.item","RIENG_MODUT","DỮ LIỆU","MODUT / Bản đúc chạy được / Thẻ báo cáo / Nội dung thẻ / Đầu ra / Xuất file / Mục lặp","modut-builder-v1.html:244","REPEATABLE","BUILT"
"modut.run.card.body.output.exports","RIENG_MODUT","GIAO DIỆN","MODUT / Bản đúc chạy được / Thẻ báo cáo / Nội dung thẻ / Đầu ra / Danh sách định dạng","modut-builder-v1.html:244","SINGLE","BUILT"
"modut.run.card.body.output.url","RIENG_MODUT","DỮ LIỆU","MODUT / Bản đúc chạy được / Thẻ báo cáo / Nội dung thẻ / Đầu ra / Đường dẫn","modut-builder-v1.html:244","SINGLE","BUILT"
"modut.run.card.body.recipients","RIENG_MODUT","GIAO DIỆN","MODUT / Bản đúc chạy được / Thẻ báo cáo / Nội dung thẻ / Người nhận","modut-builder-v1.html:243","SINGLE","BUILT"
"modut.run.card.body.recipients.value","RIENG_MODUT","DỮ LIỆU","MODUT / Bản đúc chạy được / Thẻ báo cáo / Nội dung thẻ / Người nhận / Giá trị","modut-builder-v1.html:243","SINGLE","BUILT"
"modut.run.card.body.scope","RIENG_MODUT","GIAO DIỆN","MODUT / Bản đúc chạy được / Thẻ báo cáo / Nội dung thẻ / Miền dữ liệu","modut-builder-v1.html:239","SINGLE","BUILT"
"modut.run.card.body.scope.code","RIENG_MODUT","DỮ LIỆU","MODUT / Bản đúc chạy được / Thẻ báo cáo / Nội dung thẻ / Miền dữ liệu / Mã đọc","modut-builder-v1.html:239","SINGLE","BUILT"
"modut.run.card.body.scope.source","RIENG_MODUT","DỮ LIỆU","MODUT / Bản đúc chạy được / Thẻ báo cáo / Nội dung thẻ / Miền dữ liệu / Nguồn DB","modut-builder-v1.html:239","SINGLE","BUILT"
"modut.run.card.body.scope.value","RIENG_MODUT","DỮ LIỆU","MODUT / Bản đúc chạy được / Thẻ báo cáo / Nội dung thẻ / Miền dữ liệu / Giá trị","modut-builder-v1.html:239","SINGLE","BUILT"
"modut.run.card.body.timing","RIENG_MODUT","GIAO DIỆN","MODUT / Bản đúc chạy được / Thẻ báo cáo / Nội dung thẻ / Kỳ và lịch chạy","modut-builder-v1.html:241","SINGLE","BUILT"
"modut.run.card.body.timing.value","RIENG_MODUT","DỮ LIỆU","MODUT / Bản đúc chạy được / Thẻ báo cáo / Nội dung thẻ / Kỳ và lịch chạy / Giá trị","modut-builder-v1.html:241","SINGLE","BUILT"
"modut.run.card.body.trigger","RIENG_MODUT","GIAO DIỆN","MODUT / Bản đúc chạy được / Thẻ báo cáo / Nội dung thẻ / Mã trigger","modut-builder-v1.html:242","SINGLE","BUILT"
"modut.run.card.body.trigger.value","RIENG_MODUT","DỮ LIỆU","MODUT / Bản đúc chạy được / Thẻ báo cáo / Nội dung thẻ / Mã trigger / Giá trị","modut-builder-v1.html:242","SINGLE","BUILT"
"modut.run.card.header","RIENG_MODUT","GIAO DIỆN","MODUT / Bản đúc chạy được / Thẻ báo cáo / Đầu mục","modut-builder-v1.html:126","SINGLE","BUILT"
"modut.run.card.header.bread","RIENG_MODUT","DỮ LIỆU","MODUT / Bản đúc chạy được / Thẻ báo cáo / Đầu mục / Đường 7 tầng","modut-builder-v1.html:127","SINGLE","BUILT"
"modut.run.card.header.name","RIENG_MODUT","DỮ LIỆU","MODUT / Bản đúc chạy được / Thẻ báo cáo / Đầu mục / Tên","modut-builder-v1.html:126","SINGLE","BUILT"
"modut.run.card.header.tier","RIENG_MODUT","DỮ LIỆU","MODUT / Bản đúc chạy được / Thẻ báo cáo / Đầu mục / Tầng","modut-builder-v1.html:126","SINGLE","BUILT"
"modut.run.cast","RIENG_MODUT","HÀNH VI","MODUT / Bản đúc chạy được / Đúc và lên lịch","modut-builder-v1.html:124","SINGLE","BUILT"
"modut.run.json","RIENG_MODUT","DỮ LIỆU","MODUT / Bản đúc chạy được / JSON bản đúc","modut-builder-v1.html:130","SINGLE","BUILT"
"modut.run.title","RIENG_MODUT","GIAO DIỆN","MODUT / Bản đúc chạy được / Tiêu đề","modut-builder-v1.html:124","SINGLE","BUILT"
"modut.run.top","RIENG_MODUT","GIAO DIỆN","MODUT / Bản đúc chạy được / Thanh đầu","modut-builder-v1.html:124","SINGLE","BUILT"
"modut.scope","RIENG_MODUT","GIAO DIỆN","MODUT / Miền dữ liệu","modut-builder-v1.html:91","SINGLE","BUILT"
"modut.scope.code","RIENG_MODUT","DỮ LIỆU","MODUT / Miền dữ liệu / Mã đọc","modut-builder-v1.html:94","SINGLE","BUILT"
"modut.scope.header","RIENG_MODUT","GIAO DIỆN","MODUT / Miền dữ liệu / Đầu mục","modut-builder-v1.html:91","SINGLE","BUILT"
"modut.scope.note","RIENG_MODUT","GIAO DIỆN","MODUT / Miền dữ liệu / Ghi chú","modut-builder-v1.html:96","SINGLE","BUILT"
"modut.scope.source","RIENG_MODUT","HÀNH VI","MODUT / Miền dữ liệu / Chọn nguồn DB","modut-builder-v1.html:95","SINGLE","BUILT"
"modut.scope.text","RIENG_MODUT","DỮ LIỆU","MODUT / Miền dữ liệu / Mô tả","modut-builder-v1.html:93","SINGLE","BUILT"
"modut.source","RIENG_MODUT","GIAO DIỆN","MODUT / Báo cáo nguồn","modut-builder-v1.html:88","SINGLE","BUILT"
"modut.source.cols","RIENG_MODUT","DỮ LIỆU","MODUT / Báo cáo nguồn / Thông tin cột","modut-builder-v1.html:90","SINGLE","BUILT"
"modut.source.header","RIENG_MODUT","GIAO DIỆN","MODUT / Báo cáo nguồn / Đầu mục","modut-builder-v1.html:88","SINGLE","BUILT"
"modut.source.select","RIENG_MODUT","HÀNH VI","MODUT / Báo cáo nguồn / Chọn","modut-builder-v1.html:89","SINGLE","BUILT"
"modut.timing","RIENG_MODUT","GIAO DIỆN","MODUT / Kỳ và lịch chạy","modut-builder-v1.html:101","SINGLE","BUILT"
"modut.timing.header","RIENG_MODUT","GIAO DIỆN","MODUT / Kỳ và lịch chạy / Đầu mục","modut-builder-v1.html:101","SINGLE","BUILT"
"modut.timing.period","RIENG_MODUT","HÀNH VI","MODUT / Kỳ và lịch chạy / Kỳ báo cáo","modut-builder-v1.html:103","SINGLE","BUILT"
"modut.timing.resolved","RIENG_MODUT","DỮ LIỆU","MODUT / Kỳ và lịch chạy / Lịch đã diễn giải","modut-builder-v1.html:109","SINGLE","BUILT"
"modut.timing.schedule","RIENG_MODUT","HÀNH VI","MODUT / Kỳ và lịch chạy / Lịch chạy","modut-builder-v1.html:106","SINGLE","BUILT"
"modut.topbar","RIENG_MODUT","GIAO DIỆN","MODUT / Thanh trên","modut-builder-v1.html:74","SINGLE","BUILT"
"modut.topbar.badge","RIENG_MODUT","GIAO DIỆN","MODUT / Thanh trên / Nhãn phiên bản","modut-builder-v1.html:75","SINGLE","BUILT"
"modut.topbar.brand","RIENG_MODUT","GIAO DIỆN","MODUT / Thanh trên / Thương hiệu","modut-builder-v1.html:75","SINGLE","BUILT"
"modut.topbar.list","RIENG_MODUT","GIAO DIỆN","MODUT / Thanh trên / Danh sách MOUT","modut-builder-v1.html:78","SINGLE","BUILT"
"modut.topbar.mout","RIENG_MODUT","GIAO DIỆN","MODUT / Thanh trên / Mở MOUT","modut-builder-v1.html:77","SINGLE","BUILT"
"modut.triggers","RIENG_MODUT","GIAO DIỆN","MODUT / Trigger sự kiện","modut-builder-v1.html:110","SINGLE","BUILT"
"modut.triggers.add","RIENG_MODUT","HÀNH VI","MODUT / Trigger sự kiện / Thêm","modut-builder-v1.html:111","SINGLE","BUILT"
"modut.triggers.header","RIENG_MODUT","GIAO DIỆN","MODUT / Trigger sự kiện / Đầu mục","modut-builder-v1.html:110","SINGLE","BUILT"
"modut.triggers.item","RIENG_MODUT","GIAO DIỆN","MODUT / Trigger sự kiện / Mục lặp","modut-builder-v1.html:194","REPEATABLE","BUILT"
"modut.triggers.item.condition","RIENG_MODUT","HÀNH VI","MODUT / Trigger sự kiện / Mục lặp / Điều kiện","modut-builder-v1.html:196","REPEATABLE","BUILT"
"modut.triggers.item.desc","RIENG_MODUT","DỮ LIỆU","MODUT / Trigger sự kiện / Mục lặp / Mô tả","modut-builder-v1.html:199","REPEATABLE","BUILT"
"modut.triggers.item.remove","RIENG_MODUT","HÀNH VI","MODUT / Trigger sự kiện / Mục lặp / Gỡ","modut-builder-v1.html:197","REPEATABLE","BUILT"
"modut.triggers.item.trigger","RIENG_MODUT","HÀNH VI","MODUT / Trigger sự kiện / Mục lặp / Mã trigger","modut-builder-v1.html:195","REPEATABLE","BUILT"
"modut.triggers.list","RIENG_MODUT","GIAO DIỆN","MODUT / Trigger sự kiện / Danh sách MOUT","modut-builder-v1.html:111","SINGLE","BUILT"
"modut.triggers.note","RIENG_MODUT","GIAO DIỆN","MODUT / Trigger sự kiện / Ghi chú","modut-builder-v1.html:112","SINGLE","BUILT"
